Timestamp,FruitGiven,FruitRecognized
2024-11-14T00:12:37.004444,apple,apple
2024-11-14T00:12:59.575391,orange,orange
2024-11-14T00:13:06.899734,pear,pear
2024-11-14T00:13:15.864197,apple,apple
2024-11-14T00:13:44.075523,pear,pear
2024-11-14T00:13:52.240860,orange,orange
2024-11-14T00:14:43.102544,orange,orange
2024-11-14T00:14:57.319270,pear,pear
2024-11-14T00:15:09.791355,pear,pear
2024-11-14T00:15:19.599498,pear,pear
2024-11-14T00:15:33.577065,pear,pear
2024-11-14T00:15:45.311020,orange,orange
2024-11-14T00:15:53.702664,orange,orange
2024-11-14T00:16:25.504081,pear,pear
2024-11-14T00:16:33.377745,apple,apple
2024-11-14T00:16:54.746479,apple,apple
2024-11-14T00:17:13.557818,orange,orange
2024-11-14T00:17:30.959802,apple,apple
2024-11-14T00:17:52.260451,apple,apple
2024-11-14T00:18:13.577124,apple,apple
2024-11-14T00:18:33.549465,orange,orange
2024-11-14T00:18:49.145257,apple,apple
2024-11-14T00:20:26.877478,pear,pear
2024-11-14T00:20:40.768199,pear,pear
2024-11-14T00:20:53.276782,pear,pear
2024-11-14T00:21:08.794501,orange,orange
2024-11-14T00:21:39.840286,orange,orange
2024-11-14T00:21:53.535411,apple,apple
2024-11-14T00:22:14.981515,apple,apple
2024-11-14T00:22:33.125648,orange,orange
2024-11-14T00:22:51.633491,orange,orange
2024-11-14T00:22:59.709757,orange,orange
2024-11-14T00:23:33.854574,orange,orange
2024-11-14T00:23:40.655695,apple,apple
2024-11-14T00:24:03.050788,orange,orange
2024-11-14T00:24:56.906812,apple,apple
2024-11-14T00:25:10.604760,orange,orange
2024-11-14T00:25:17.787714,apple,apple
2024-11-14T00:25:42.773026,apple,apple
2024-11-14T00:26:02.492784,orange,orange
2024-11-14T00:26:16.041105,pear,pear
2024-11-14T00:27:22.411497,pear,pear
2024-11-14T00:27:32.328429,orange,orange
2024-11-14T00:27:42.258212,orange,orange
2024-11-14T00:27:48.870244,pear,pear
2024-11-14T00:28:02.106068,apple,apple
2024-11-14T00:28:23.439154,pear,pear
2024-11-14T00:28:31.352064,pear,pear
2024-11-14T00:28:43.610625,apple,apple
2024-11-14T00:29:04.981891,pear,pear
2024-11-14T00:29:13.557030,apple,apple
2024-11-14T00:29:33.646893,pear,pear
2024-11-14T00:29:44.557819,apple,apple
2024-11-14T00:30:02.976060,pear,pear
2024-11-14T00:30:15.465095,orange,orange
2024-11-14T00:30:26.113369,orange,orange
2024-11-14T00:30:36.325666,orange,orange
2024-11-14T00:30:41.883135,apple,apple
2024-11-14T00:31:01.203921,orange,orange
2024-11-14T00:31:13.439543,pear,pear
2024-11-14T00:31:22.884257,apple,apple
2024-11-14T00:31:43.816941,orange,orange
2024-11-14T00:31:54.909016,pear,pear
2024-11-14T00:32:04.956784,pear,pear
2024-11-14T00:32:12.824857,pear,pear
2024-11-14T00:32:23.201881,pear,pear
2024-11-14T00:32:34.652474,orange,orange
2024-11-14T00:32:44.478225,apple,apple
2024-11-14T00:33:05.475173,orange,orange
2024-11-14T00:33:15.211642,orange,orange
2024-11-14T00:33:25.611190,orange,orange
2024-11-14T00:33:32.907485,pear,pear
2024-11-14T00:33:44.383685,orange,orange
2024-11-14T00:33:55.513623,pear,pear
2024-11-14T00:34:05.502157,apple,apple
2024-11-14T00:35:16.205252,apple,apple
2024-11-14T00:35:37.217564,apple,apple
2024-11-14T00:35:55.564746,orange,orange
2024-11-14T00:36:08.755122,pear,pear
2024-11-14T00:36:18.808391,orange,orange
2024-11-14T00:36:29.042904,orange,orange
2024-11-14T00:36:36.300268,orange,orange
2024-11-14T00:36:48.439613,pear,pear
2024-11-14T00:36:59.219897,pear,pear
2024-11-14T00:37:08.912526,pear,pear
2024-11-14T00:37:17.438423,orange,orange
2024-11-14T00:37:27.802895,pear,pear
2024-11-14T00:37:38.863060,orange,orange
2024-11-14T00:37:49.114267,pear,pear
2024-11-14T00:37:58.722044,pear,pear
2024-11-14T00:38:49.297750,pear,pear
2024-11-14T00:38:56.167438,orange,orange
2024-11-14T00:39:09.135376,orange,orange
2024-11-14T00:39:17.756796,orange,orange
2024-11-14T00:39:29.351750,pear,pear
2024-11-14T00:39:35.928656,orange,orange
2024-11-14T00:39:49.306421,pear,pear
2024-11-14T00:39:56.932955,apple,apple
2024-11-14T00:40:16.844201,apple,apple
2024-11-14T00:40:38.506823,orange,orange
