Timestamp,FruitGiven,FruitRecognized
2024-11-14T01:34:20.082914,pear,pear
2024-11-14T01:34:29.892220,apple,apple
2024-11-14T01:34:49.219985,apple,apple
2024-11-14T01:35:09.060617,pear,pear
2024-11-14T01:35:20.450466,orange,orange
2024-11-14T01:37:18.944547,apple,apple
2024-11-14T01:37:40.527382,pear,pear
2024-11-14T01:37:50.140437,apple,apple
2024-11-14T01:38:12.101695,apple,apple
2024-11-14T01:38:33.584925,apple,apple
2024-11-14T01:38:54.427487,apple,apple
2024-11-14T01:39:15.683590,apple,apple
2024-11-14T01:39:34.853982,pear,pear
2024-11-14T01:39:47.224529,apple,apple
2024-11-14T01:40:08.413237,orange,orange
2024-11-14T01:40:17.259883,apple,apple
2024-11-14T01:40:38.253203,orange,orange
2024-11-14T01:40:49.997141,orange,orange
2024-11-14T01:40:59.439843,apple,apple
2024-11-14T01:41:21.997789,apple,apple
2024-11-14T01:41:31.505190,pear,pear
2024-11-14T01:41:41.150982,pear,pear
2024-11-14T01:41:47.690015,apple,apple
2024-11-14T01:42:07.027649,orange,orange
2024-11-14T01:42:19.145717,apple,apple
2024-11-14T01:42:39.853159,apple,apple
2024-11-14T01:42:57.874905,apple,apple
2024-11-14T01:43:19.608561,orange,orange
2024-11-14T01:43:28.869076,pear,pear
2024-11-14T01:43:38.040135,orange,orange
2024-11-14T01:43:48.900907,apple,apple
2024-11-14T01:44:07.108415,pear,pear
2024-11-14T01:44:20.303302,orange,orange
2024-11-14T01:44:30.203973,apple,apple
2024-11-14T01:44:49.071206,pear,pear
2024-11-14T01:45:01.369390,orange,orange
2024-11-14T01:45:09.121844,orange,orange
2024-11-14T01:45:20.738891,pear,pear
2024-11-14T01:45:28.823927,orange,orange
2024-11-14T01:45:41.504864,orange,orange
2024-11-14T01:45:50.466615,orange,orange
2024-11-14T01:46:01.162738,pear,pear
2024-11-14T01:46:08.133694,apple,apple
2024-11-14T01:46:27.270317,orange,orange
2024-11-14T01:46:39.411483,orange,orange
2024-11-14T01:46:49.134706,apple,apple
2024-11-14T01:47:09.797519,apple,apple
2024-11-14T01:47:31.867587,pear,pear
2024-11-14T01:47:39.511744,pear,pear
2024-11-14T01:47:48.995810,orange,orange
2024-11-14T01:48:20.815496,orange,orange
2024-11-14T01:48:29.271584,pear,pear
2024-11-14T01:48:53.943191,pear,pear
2024-11-14T01:49:04.152646,apple,apple
2024-11-14T01:49:36.347842,pear,pear
2024-11-14T01:49:42.024758,apple,apple
2024-11-14T01:50:15.651060,apple,apple
2024-11-14T01:50:33.745220,orange,orange
2024-11-14T01:50:52.107806,apple,apple
2024-11-14T01:51:11.759277,pear,pear
2024-11-14T01:51:21.967662,pear,pear
2024-11-14T01:51:50.372155,apple,apple
2024-11-14T01:52:12.391011,pear,pear
2024-11-14T01:52:20.790248,apple,apple
2024-11-14T01:52:55.599636,pear,pear
2024-11-14T01:53:02.333218,pear,pear
2024-11-14T01:53:11.613360,orange,orange
2024-11-14T01:53:42.260404,pear,pear
2024-11-14T01:53:51.563808,apple,apple
2024-11-14T01:54:20.518052,pear,pear
2024-11-14T01:54:28.873054,orange,orange
2024-11-14T01:55:08.727908,pear,pear
2024-11-14T01:55:18.252195,pear,pear
2024-11-14T01:55:47.305539,pear,pear
2024-11-14T01:56:05.092061,orange,orange
2024-11-14T01:56:21.698447,apple,apple
2024-11-14T01:56:43.751496,pear,pear
2024-11-14T01:56:51.352361,orange,orange
2024-11-14T01:57:00.570858,orange,orange
2024-11-14T01:57:32.618999,orange,orange
2024-11-14T01:57:41.505638,orange,orange
2024-11-14T01:58:13.132739,pear,pear
2024-11-14T01:58:21.154050,pear,pear
2024-11-14T01:58:53.120507,apple,apple
2024-11-14T01:59:12.442534,pear,pear
2024-11-14T02:03:44.674471,orange,orange
2024-11-14T02:03:58.702587,apple,apple
2024-11-14T02:04:18.153350,pear,pear
2024-11-14T02:04:26.912340,orange,orange
2024-11-14T02:04:57.560119,orange,orange
2024-11-14T02:05:33.732895,pear,pear
2024-11-14T02:05:54.125030,apple,apple
2024-11-14T02:06:13.152232,apple,apple
2024-11-14T02:06:35.253642,apple,apple
2024-11-14T02:06:53.434525,apple,apple
2024-11-14T02:07:15.364170,orange,orange
2024-11-14T02:07:22.501524,apple,apple
2024-11-14T02:07:49.916846,pear,pear
2024-11-14T02:08:00.442730,apple,apple
2024-11-14T02:08:35.094038,orange,orange
2024-11-14T02:08:43.852427,orange,pear
2024-11-14T02:09:17.345271,orange,orange
2024-11-14T02:09:23.807491,pear,pear
2024-11-14T02:09:49.913125,apple,apple
2024-11-14T02:10:08.673781,apple,apple
2024-11-14T02:10:27.473645,pear,pear
2024-11-14T02:10:41.534029,apple,apple
2024-11-14T02:11:11.450455,orange,orange
2024-11-14T02:11:23.286809,pear,pear
2024-11-14T02:11:46.268555,apple,apple
2024-11-14T02:12:07.598058,apple,apple
2024-11-14T02:12:26.171908,pear,pear
2024-11-14T02:12:39.596196,pear,pear
2024-11-14T02:12:51.584580,apple,apple
2024-11-14T02:13:26.032079,apple,apple
2024-11-14T02:13:45.830734,pear,pear
2024-11-14T02:13:59.201327,pear,pear
2024-11-14T02:14:20.568431,apple,apple
2024-11-14T02:14:43.425857,pear,pear
2024-11-14T02:14:50.397391,apple,apple
2024-11-14T02:15:24.838153,orange,orange
2024-11-14T02:15:32.897393,pear,pear
2024-11-14T02:15:58.462153,pear,pear
2024-11-14T02:16:08.910033,apple,apple
2024-11-14T02:16:43.230590,apple,apple
2024-11-14T02:17:14.696924,pear,pear
2024-11-14T02:17:23.551551,pear,pear
2024-11-14T02:17:31.762856,pear,pear
2024-11-14T02:17:58.356081,orange,orange
