Timestamp,FruitGiven,FruitRecognized
2024-11-10T00:42:39.624647,pear,pear
2024-11-10T00:42:49.644292,pear,pear
2024-11-10T00:43:36.097212,orange,orange
2024-11-10T00:43:45.791680,apple,apple
2024-11-10T00:44:13.118717,apple,apple
2024-11-10T00:44:34.608559,orange,orange
2024-11-10T00:44:44.833524,orange,orange
2024-11-10T00:44:59.294424,pear,pear
2024-11-10T00:45:11.053722,apple,apple
2024-11-10T00:45:36.382634,orange,orange
2024-11-10T00:45:44.074855,pear,pear
2024-11-10T00:45:56.401774,apple,apple
2024-11-10T00:46:17.753426,orange,orange
2024-11-10T00:46:27.632272,apple,apple
2024-11-10T00:46:55.919737,orange,orange
2024-11-10T00:47:05.940019,apple,apple
2024-11-10T00:47:33.939711,apple,apple
2024-11-10T00:47:55.658307,orange,orange
2024-11-10T00:48:05.851037,apple,apple
2024-11-10T00:48:33.665171,pear,pear
2024-11-10T00:48:44.323152,apple,apple
2024-11-10T00:49:11.110013,orange,orange
2024-11-10T00:49:20.376681,apple,apple
2024-11-10T00:49:49.412540,orange,orange
2024-11-10T00:50:00.224978,apple,apple
2024-11-10T00:50:26.491582,pear,pear
2024-11-10T00:50:37.375292,pear,pear
2024-11-10T00:50:46.618090,orange,orange
2024-11-10T00:51:12.701069,apple,apple
2024-11-10T00:51:33.853829,orange,orange
2024-11-10T00:51:44.173245,apple,apple
2024-11-10T00:52:11.657786,apple,apple
2024-11-10T00:52:33.328399,apple,apple
2024-11-10T00:52:55.462808,apple,apple
2024-11-10T00:53:14.053778,pear,pear
2024-11-10T00:53:26.894062,pear,pear
2024-11-10T00:53:36.914968,apple,apple
2024-11-10T00:54:03.685472,apple,apple
2024-11-10T00:54:25.871281,pear,pear
2024-11-10T00:54:35.803819,apple,apple
2024-11-10T00:55:01.956720,orange,orange
2024-11-10T00:55:19.847475,pear,pear
2024-11-10T00:55:33.135147,orange,orange
2024-11-10T00:55:43.298237,apple,apple
2024-11-11T18:27:28.773724,apple,pear
2024-11-11T19:39:53.435728,orange,orange
2024-11-11T19:39:55.836926,orange,orange
